Date,asset_ret,benchmark_ret
2010-01-05 00:00:00-05:00,0.001727601871562845,0.0026434755889344075
2010-01-06 00:00:00-05:00,-0.01603401534140292,0.0007035624263416196
2010-01-07 00:00:00-05:00,-0.0018507105267973056,0.004212712126926199
2010-01-08 00:00:00-05:00,0.006626298420451482,0.0033223186094026858
2010-01-11 00:00:00-05:00,-0.00886028618308532,0.001395631824730792
2010-01-12 00:00:00-05:00,-0.011440728997584193,-0.009370567166766541
2010-01-13 00:00:00-05:00,0.014007171171533273,0.008410989692306359
2010-01-14 00:00:00-05:00,-0.0058084679787959725,0.0027011157828376042
2010-01-15 00:00:00-05:00,-0.016853122632956685,-0.011287599754871813
2010-01-19 00:00:00-05:00,0.043287812812389914,0.012417948746758611
2010-01-20 00:00:00-05:00,-0.015512260638900432,-0.01022078090615075
2010-01-21 00:00:00-05:00,-0.017437188675641258,-0.019416327591350147
2010-01-22 00:00:00-05:00,-0.05087115177382229,-0.022543770702710297
2010-01-25 00:00:00-05:00,0.026546887592596713,0.005114739607559926
2010-01-26 00:00:00-05:00,0.014034595132184968,-0.004199579364692063
2010-01-27 00:00:00-05:00,0.00937600256647797,0.004745639859137896
2010-01-28 00:00:00-05:00,-0.04220016672885363,-0.011538457588816442
2010-01-29 00:00:00-05:00,-0.03695322756028396,-0.010928070990813055
2010-02-01 00:00:00-05:00,0.013806419184016816,0.015431275242826281
2010-02-02 00:00:00-05:00,0.005786353818020951,0.012030805675215639
2010-02-03 00:00:00-05:00,0.017059620670048625,-0.004995552338412423
2010-02-04 00:00:00-05:00,-0.036704358295976736,-0.031352015007581
2010-02-05 00:00:00-05:00,0.017599968503773766,0.002064733561694787
2010-02-08 00:00:00-05:00,-0.006879102959616246,-0.007245392554891872
2010-02-09 00:00:00-05:00,0.010606984151227516,0.012482190042065966
2010-02-10 00:00:00-05:00,-0.00546867686213548,-0.001960503116700707
2010-02-11 00:00:00-05:00,0.018030087347464585,0.01041156546721922
2010-02-12 00:00:00-05:00,0.008570661346998465,-0.0008326076596540943
2010-02-16 00:00:00-05:00,0.01495871260969972,0.015612221154235328
2010-02-17 00:00:00-05:00,-0.0041875345670632225,0.0047272751096612
2010-02-18 00:00:00-05:00,0.0018740460096504652,0.0058780709463430725
2010-02-19 00:00:00-05:00,-0.006228351488331008,0.0020715640547592784
2010-02-22 00:00:00-05:00,-0.006217351461670351,0.00017990137479984014
2010-02-23 00:00:00-05:00,-0.01690690220722435,-0.012218897310972032
2010-02-24 00:00:00-05:00,0.01810367026580839,0.009155610149162996
2010-02-25 00:00:00-05:00,0.006656035656874337,-0.001354379341618639
2010-02-26 00:00:00-05:00,0.012886462400410137,0.0006320934984831439
2010-03-01 00:00:00-05:00,0.02113192638678507,0.010331200651429562
2010-03-02 00:00:00-05:00,-0.0006698453921056835,0.0027668377797711585
2010-03-03 00:00:00-05:00,0.0022952803059994586,0.0008906921895102116
2010-03-04 00:00:00-05:00,0.006570936547411144,0.0030229775685608473
2010-03-05 00:00:00-05:00,0.038360516413351364,0.014192479732798802
2010-03-08 00:00:00-05:00,0.0005934753915213253,0.0001750941426266195
2010-03-09 00:00:00-05:00,0.017824879075837297,0.0016612865286278478
2010-03-10 00:00:00-05:00,0.008127258863405373,0.004445550663093378
2010-03-11 00:00:00-05:00,0.002931437501077161,0.004166550316790918
2010-03-12 00:00:00-05:00,0.00486622088222366,8.64195793308653e-05
2010-03-15 00:00:00-04:00,-0.012254684820394601,0.0002599220797279145
2010-03-16 00:00:00-04:00,0.0027210076658152893,0.007934422716820322
2010-03-17 00:00:00-04:00,-0.0014712528025659921,0.005909970465097558
2010-03-18 00:00:00-04:00,0.002361993567096432,-0.0005125869457929255
2010-03-19 00:00:00-04:00,-0.010740610951244456,-0.005074703496942945
2010-03-22 00:00:00-04:00,0.011185613043116271,0.005331815721119959
2010-03-23 00:00:00-04:00,0.01593477066659177,0.007008818938660788
2010-03-24 00:00:00-04:00,0.004413277177458541,-0.004866808910488629
2010-03-25 00:00:00-04:00,-0.01192964320450196,-0.0016271110332022332
2010-03-26 00:00:00-04:00,0.018577640043466515,-0.0006003919534016688
2010-03-29 00:00:00-04:00,0.006432188915258541,0.0063273865105895055
2010-03-30 00:00:00-04:00,0.01477924422879906,0.0006815959602342048
2010-03-31 00:00:00-04:00,-0.003610543838388658,-0.0034128090871625716
2010-04-01 00:00:00-04:00,0.004119076915941822,0.006814529068693176
2010-04-05 00:00:00-04:00,0.010622696180348834,0.008116349248370014
2010-04-06 00:00:00-04:00,0.004393350363680604,0.0023546454267187045
2010-04-07 00:00:00-04:00,0.004415348931862795,-0.005728821159033615
2010-04-08 00:00:00-04:00,-0.002705083409928699,0.003458099406739912
2010-04-09 00:00:00-04:00,0.007638477332015281,0.006545902197167663
2010-04-12 00:00:00-04:00,0.0020662016980086406,0.001588268001016857
2010-04-13 00:00:00-04:00,0.0005772908826147116,0.0007513461262638188
2010-04-14 00:00:00-04:00,0.013357724768640278,0.011285302540930964
